DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m udp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:23:47 2023
[Status] Stopping after 1 run through file
> NOERROR www.2-226-94-183.ip180.fastwebnet.it A 0.006359
> NOERROR www.193-169-56-249.housing.regdom.it A 0.009765
> NOERROR www.2-225-83-145.ip174.fastwebnet.it A 0.006450
> NOERROR www.151-0-188-233.ip282.fastwebnet.it A 0.006669
> NOERROR www.217-133-69-249.static.clienti.tiscali.it A 0.000991
> NOERROR www.196.5.168.109.cust.ip.kpnqwest.it A 0.007120
> NOERROR www.217-133-95-70.static.clienti.tiscali.it A 0.007528
> NXDOMAIN fsupersisters.it A 0.000941
> NOERROR www.218.119.168.109.host.static.ip.kpnqwest.it A 0.007210
> NXDOMAIN futenti.dises.univpm.it A 0.007204
> NOERROR www.2-224-41-194.ip168.fastwebnet.it A 0.007199
> NXDOMAIN fstmoritz.it A 0.007449
> NOERROR www.2-227-135-21.ip186.fastwebnet.it A 0.001291
> NOERROR www.2-227-40-148.ip184.fastwebnet.it A 0.007439
> NOERROR www.2-230-209-65.ip203.fastwebnet.it A 0.007560
> NXDOMAIN fwebdisk.giacomobonaventura.it A 0.007523
> NOERROR www.2-224-218-211.ip172.fastwebnet.it A 0.007715
> NXDOMAIN fwww.scrivoanchio.it A 0.007846
> NOERROR www.2-226-68-18.ip179.fastwebnet.it A 0.007706
> NOERROR www.2-229-132-30.ip196.fastwebnet.it A 0.007786
> NOERROR www.217-171-234-055.protezionecivile.fvg.it A 0.007027
> NOERROR www.2-224-253-160.ip173.fastwebnet.it A 0.002110
> NOERROR www.151-0-149-162.ip281.fastwebnet.it A 0.008364
> NOERROR www.2-227-46-76.ip184.fastwebnet.it A 0.006993
> NOERROR www.217-133-52-137.static.clienti.tiscali.it A 0.007275
> NOERROR www.2-226-55-34.ip179.fastwebnet.it A 0.002535
> NXDOMAIN fwww.pharmasi.it A 0.007652
> NOERROR www.199.10.141.94.dsl.static.ip.kpnqwest.it A 0.007640
> NOERROR www.146-241-219-95.dyn.eolo.it A 0.002769
