DNS Performance Testing Tool
Version 2.13.1

[Status] Command line: dnsperf -O verbose-interval-stats -O latency-histogram -m tcp -s 127.0.0.1 -d 60000shuf.txt -v
[Status] Sending queries (to 127.0.0.1:53)
[Status] Started at: Thu Dec 14 16:24:26 2023
[Status] Stopping after 1 run through file
> NOERROR www.146-241-17-164.dyn.eolo.it A 0.009160
> NOERROR www.2-230-55-86.ip200.fastwebnet.it A 0.009165
> NOERROR www.2-224-28-241.ip168.fastwebnet.it A 0.009314
> NOERROR www.217-133-47-127.static.clienti.tiscali.it A 0.009145
> NXDOMAIN fwww.pazientefelice.it A 0.009325
> NOERROR www.2-230-23-220.ip199.fastwebnet.it A 0.009161
> NOERROR www.101.35.97.212.dsl.static.ip.kpnqwest.it A 0.009348
> NOERROR www.146-241-242-58.dyn.eolo.it A 0.009192
> NOERROR www.2-229-7-65.ip194.fastwebnet.it A 0.009230
> NOERROR www.185-213-115-109.ip304.fastwebnet.it A 0.009503
> NOERROR www.128-116-144-30.dyn.eolo.it A 0.009493
> NOERROR www.193-169-56-249.housing.regdom.it A 0.009283
> NOERROR www.217-133-120-97.static.clienti.tiscali.it A 0.009415
> NOERROR www.2-225-182-149.ip176.fastwebnet.it A 0.009356
> NOERROR www.217-133-95-70.static.clienti.tiscali.it A 0.009514
> NOERROR www.22.122.65.128.dsl.static.ip.kpnqwest.it A 0.009529
> NXDOMAIN fwww.albergocasentino.it A 0.009461
> NOERROR www.218.119.168.109.host.static.ip.kpnqwest.it A 0.009463
> NXDOMAIN ftrameeditoriali.it A 0.009590
> NOERROR www.2-224-102-52.ip170.fastwebnet.it A 0.009605
> NOERROR www.2-230-209-65.ip203.fastwebnet.it A 0.009890
> NOERROR www.2-224-211-35.ip172.fastwebnet.it A 0.009620
> NOERROR www.2-227-46-44.ip184.fastwebnet.it A 0.009768
> NXDOMAIN fwww.scrivoanchio.it A 0.009739
> NOERROR www.2-231-52-210.ip205.fastwebnet.it A 0.009897
> NOERROR www.217-133-132-197.static.clienti.tiscali.it A 0.009912
> NOERROR www.151-0-149-162.ip281.fastwebnet.it A 0.009917
> NOERROR www.2-226-107-212.ip180.fastwebnet.it A 0.010093
> NXDOMAIN fwww.intraship-dhl.it A 0.009930
> NOERROR www.208.185.173.62.dsl.static.ip.kpnqwest.it A 0.010108
> NOERROR www.2-226-94-183.ip180.fastwebnet.it A 0.009955
> NOERROR www.217-133-218-3.static.clienti.tiscali.it A 0.010107
> NOERROR www.139.51.168.109.cust.ip.kpnqwest.it A 0.010129
> NOERROR www.2-225-83-145.ip174.fastwebnet.it A 0.010119
> NOERROR www.2-227-91-76.ip185.fastwebnet.it A 0.009964
> NOERROR www.2-228-186-71.ip192.fastwebnet.it A 0.010101
> NOERROR www.151-0-188-233.ip282.fastwebnet.it A 0.009968
> NOERROR www.2-228-119-150.ip191.fastwebnet.it A 0.009997
> NOERROR www.2-231-41-152.ip205.fastwebnet.it A 0.009966
> NOERROR www.196.5.168.109.cust.ip.kpnqwest.it A 0.010104
> NOERROR www.2-229-21-183.ip194.fastwebnet.it A 0.009551
> NXDOMAIN fvaclav-bajer-instalateri.czechtrade.it A 0.009715
> NXDOMAIN futenti.dises.univpm.it A 0.009874
> NOERROR www.217-133-14-178.static.clienti.tiscali.it A 0.009709
> NXDOMAIN fwww.gastronomiaurbanapg.it A 0.009863
> NOERROR www.2-224-41-194.ip168.fastwebnet.it A 0.009688
> NOERROR www.2-228-255-212.ip194.fastwebnet.it A 0.009827
> NOERROR www.200.240.93.77.dsl.static.ip.kpnqwest.it A 0.009807
> NXDOMAIN fstmoritz.it A 0.009797
> NOERROR www.146-241-8-225.dyn.eolo.it A 0.009687
> NXDOMAIN fsys-srv.fucine.it A 0.009670
> NOERROR www.2-227-40-148.ip184.fastwebnet.it A 0.009908
> NOERROR www.145.8.141.94.cust.ip.kpnqwest.it A 0.009902
> NOERROR www.22.195.225.213.unassigned.momax.it A 0.009804
> NXDOMAIN fwebdisk.giacomobonaventura.it A 0.009946
> NOERROR www.2-231-224-110.ip209.fastwebnet.it A 0.009788
> NOERROR www.2-231-61-28.ip205.fastwebnet.it A 0.009826
> NOERROR www.2-224-218-211.ip172.fastwebnet.it A 0.009915
> NOERROR www.2-226-250-232.ip183.fastwebnet.it A 0.009906
> NXDOMAIN fwww.mammacheemoticon.inglesina.it A 0.009778
> NOERROR www.2-226-68-18.ip179.fastwebnet.it A 0.009768
> NOERROR www.2-229-84-107.ip195.fastwebnet.it A 0.009935
> NXDOMAIN fwebhouse01-int.ccd.uniroma2.it A 0.009945
> NOERROR www.2-229-132-30.ip196.fastwebnet.it A 0.010041
> NOERROR www.128-116-225-251.dyn.eolo.it A 0.010032
> NOERROR www.2-224-194-190.ip171.fastwebnet.it A 0.009912
> NOERROR www.217-171-234-055.protezionecivile.fvg.it A 0.009903
> NOERROR www.203.187.173.62.cust.ip.kpnqwest.it A 0.009914
> NOERROR www.2-225-32-38.ip173.fastwebnet.it A 0.009894
> NOERROR www.2-227-46-76.ip184.fastwebnet.it A 0.009674
> NXDOMAIN fwww.castelsenese.it A 0.009646
> NOERROR www.146-241-147-140.dyn.eolo.it A 0.009757
> NOERROR www.217-133-52-137.static.clienti.tiscali.it A 0.009756
> NXDOMAIN fwebdisk.tamburinifineart.it A 0.009853
> NOERROR www.2-231-14-170.ip204.fastwebnet.it A 0.009861
> NXDOMAIN fwww.pharmasi.it A 0.009762
> NOERROR www.146-241-95-201.dyn.eolo.it A 0.009738
> NOERROR www.2-224-192-183.ip171.fastwebnet.it A 0.009852
> NOERROR www.199.10.141.94.dsl.static.ip.kpnqwest.it A 0.009953
> NOERROR www.185-36-75-103.ip277.fastwebnet.it A 0.009945
> NOERROR www.2-225-102-83.ip175.fastwebnet.it A 0.010086
> NOERROR www.217-133-207-165.static.clienti.tiscali.it A 0.010084
> NOERROR www.2-224-232-143.ip172.fastwebnet.it A 0.009679
> NOERROR www.212-183-177-187.static-xdsl.qcom.it A 0.009906
> NXDOMAIN fwww.poliambulatorio-minerva.it A 0.009880
> NOERROR www.185-182-211-145.airbeam.it A 0.010055
